genres_position0,genres_position1,genres_position2,genres_freq,production_companies_position0,production_companies_position1,production_companies_freq,director_position0,director_freq
Horror,Mystery,Thriller,22,others,others,1,Michaelmoroni,1
Drama,Mystery,no option,2,others,others,133,Logandooley,1
Drama,Mystery,Thriller,4,others,others,133,Robhull,1
Animation,Comedy,no option,2,others,others,1,Ryanmargetts,1
Mystery,Thriller,Horror,3,others,others,133,Masonmecartea,1
Action,Animation,Adventure,1,others,others,1,Henriquebouduard,2
Mystery,Horror,Drama,1,others,others,1,Jacksonbigley,1
Thriller,no option,no option,32,others,others,1,Jasonsealy,1
Documentary,Adventure,Music,1,others,others,1,Henriquebouduard,2
Adventure,Comedy,no option,2,others,others,1,Aidenpalomo,1
Horror,Thriller,no option,78,others,others,1,Deanbarbeau,1
Horror,Thriller,no option,78,others,others,1,Louiszygmuncikiv,1
Animation,Action,Comedy,1,others,others,133,Noahcheruk,1
Mystery,Music,no option,1,others,others,133,Levideleon,1
Documentary,Family,Drama,1,others,others,1,Angelwoodland,1
Drama,Thriller,ScienceFiction,2,others,others,1,Stevensoderbergh,8
Adventure,Comedy,ScienceFiction,1,others,others,1,Gregmottola,3
Action,ScienceFiction,Drama,2,others,others,1,Shawnlevy,5
Drama,Romance,Fantasy,1,others,others,1,Mitchglazer,1
Thriller,Action,Crime,5,others,others,1,Adilelarbi,1
Romance,Adventure,Action,1,others,others,1,Jonathanenglish,1
Horror,ScienceFiction,no option,3,others,others,1,Xaviergens,1
Action,ScienceFiction,Adventure,8,others,others,1,Michaelbay,6
Crime,Comedy,Action,4,others,others,1,Johnwhitesell,2
Horror,Action,Thriller,4,others,others,1,Scottstewart,2
Comedy,Fantasy,Adventure,1,others,others,1,Davidgordongreen,10
Comedy,Romance,Family,1,others,others,1,Frankcoraci,3
Drama,Fantasy,Romance,3,others,others,1,Danielbarnz,3
ScienceFiction,Thriller,Romance,1,others,others,1,Georgenolfi,2
Fantasy,Action,Drama,1,others,others,1,Tarsemsingh,3
Action,Adventure,Thriller,6,others,others,1,Sammendes,3
Thriller,ScienceFiction,Mystery,2,others,AmblinEntertainment,1,J.j.abrams,4
Adventure,Fantasy,Action,4,others,others,1,Marcusnispel,1
Action,Thriller,Crime,18,others,others,1,Simonwest,4
ScienceFiction,Action,Adventure,11,MarvelStudios,others,22,Josswhedon,2
Action,Fantasy,Thriller,2,LegendaryPictures,others,1,Zacksnyder,6
Comedy,Drama,no option,79,others,others,1,Brucerobinson,1
Adventure,Fantasy,Action,4,others,others,1,Dominicsena,1
Horror,Fantasy,no option,6,others,others,1,Drewgoddard,2
Adventure,Animation,Mystery,1,others,others,1,Stevenspielberg,9
Horror,no option,no option,50,others,others,1,F.javiergutiérrez,1
Fantasy,Adventure,no option,2,others,others,3,Davidyates,5
Comedy,Drama,no option,79,others,others,1,Davidgordongreen,10
Drama,no option,no option,226,others,others,1,Georgeclooney,4
Adventure,Fantasy,Action,4,MarvelStudios,others,22,Kennethbranagh,5
Drama,Fantasy,no option,7,others,others,1,Terrencemalick,2
Comedy,no option,no option,138,others,others,4,Malcolmd.lee,6
Action,Adventure,Fantasy,19,MarvelEntertainment,others,1,Marcwebb,3
Adventure,Action,Fantasy,2,WaltDisneyPictures,others,1,Robmarshall,3
Action,Adventure,ScienceFiction,31,MarvelStudios,others,22,Joejohnston,1
Crime,Action,Thriller,8,others,others,1,Frankmiller,1
no option,no option,no option,13,others,others,133,Ushermorgan,1
Comedy,Drama,no option,79,others,others,1,Natfaxon,1
Adventure,Drama,Action,1,others,others,1,Ridleyscott,8
Comedy,no option,no option,138,others,others,1,Malcolmd.lee,6
Horror,Thriller,no option,78,others,others,1,Gregoryplotkin,3
Comedy,no option,no option,138,others,DreamWorksPictures,1,Kenscott,2
Crime,Thriller,Drama,4,others,others,1,Bradfurman,3
Drama,Thriller,Crime,6,others,others,1,Denisvilleneuve,5
Action,Crime,no option,13,others,others,1,Courtneysolomon,1
Action,Comedy,Crime,3,others,others,1,Deanparisot,2
Horror,Thriller,no option,78,others,others,1,Edgass-donnelly,1
Action,Thriller,Mystery,6,others,others,1,Johnhillcoat,2
Comedy,Adventure,Crime,1,WaltDisneyPictures,others,3,Jamesbobin,4
Drama,ScienceFiction,no option,6,others,others,1,Shanecarruth,1
ScienceFiction,Thriller,Horror,3,others,others,1,Scottstewart,2
Comedy,Drama,Romance,32,others,others,1,Paulweitz,2
Action,Drama,Thriller,1,others,others,1,Davidayer,5
Action,Adventure,ScienceFiction,31,others,others,1,Zacksnyder,6
Comedy,Drama,History,2,others,WaltDisneyPictures,1,Johnleehancock,3
Adventure,Action,ScienceFiction,1,Lucasfilm,others,2,J.j.abrams,4
Action,Adventure,Animation,2,others,DreamWorksAnimation,1,Alessandrocarloni,1
Documentary,no option,no option,106,others,others,1,Tomputnam,1
Action,Crime,Drama,12,others,others,1,Davidbarrett,1
Comedy,Horror,no option,17,others,others,1,Michaeltiddes,3
Horror,Thriller,no option,78,others,others,1,Jameswan,6
Comedy,Crime,no option,14,others,others,1,Rawsonmarshallthurber,4
Comedy,Drama,no option,79,others,others,1,Tedkoland,1
Action,Adventure,Thriller,6,others,others,1,Patrickhughes,3
Drama,Fantasy,Mystery,1,others,others,1,Akivagoldsman,1
Family,Adventure,Animation,1,others,others,1,Kellyasbury,3
Action,ScienceFiction,no option,3,others,others,1,Dougliman,5
Animation,Family,Adventure,2,others,others,1,Phillord,3
Action,Drama,Thriller,11,others,others,1,Kennethbranagh,5
Comedy,no option,no option,138,others,others,1,Jonturteltaub,2
Crime,Thriller,no option,20,others,others,2,Sammiller,1
Family,Animation,Fantasy,1,DreamWorksAnimation,others,11,Mikemitchell,3
Action,Crime,Drama,12,others,others,1,Scottwaugh,1
Action,Comedy,Crime,12,others,others,1,Paulfeig,6
Action,Thriller,no option,42,others,others,1,Stevenknight,2
Action,Comedy,Crime,12,others,others,1,Baltasarkormákur,5
Action,Adventure,ScienceFiction,3,AmblinEntertainment,others,3,Colintrevorrow,4
Thriller,Drama,Action,1,others,others,1,Ricromanwaugh,4
Crime,Comedy,no option,4,others,others,1,Michaelbay,6
Drama,Horror,no option,3,others,others,1,Kimberlypeirce,1
Drama,no option,no option,226,others,others,1,Gusvansant,4
