,年份,基數,物價指數
0,1913,9.9, 
1,1914,10.0,1.3
2,1915,10.1,0.9
3,1916,10.9,7.7
4,1917,12.8,17.8
5,1918,15.0,17.3
6,1919,17.3,15.2
7,1920,20.0,15.6
8,1921,17.9,-10.9
9,1922,16.8,-6.2
10,1923,17.1,1.8
11,1924,17.1,0.4
12,1925,17.5,2.4
13,1926,17.7,0.9
14,1927,17.4,-1.9
15,1928,17.2,-1.2
16,1929,17.2,0.0
17,1930,16.7,-2.7
18,1931,15.2,-8.9
19,1932,13.6,-10.3
20,1933,12.9,-5.2
21,1934,13.4,3.5
22,1935,13.7,2.6
23,1936,13.9,1.0
24,1937,14.4,3.7
25,1938,14.1,-2.0
26,1939,13.9,-1.3
27,1940,14.0,0.7
28,1941,14.7,5.1
29,1942,16.3,10.9
30,1943,17.3,6.0
31,1944,17.6,1.6
32,1945,18.0,2.3
33,1946,19.5,8.5
34,1947,22.3,14.4
35,1948,24.0,7.7
36,1949,23.8,-1.0
37,1950,24.1,1.1
38,1951,26.0,7.9
39,1952,26.6,2.3
40,1953,26.8,0.8
41,1954,26.9,0.3
42,1955,26.8,-0.3
43,1956,27.2,1.5
44,1957,28.1,3.3
45,1958,28.9,2.7
46,1959,29.2,1.08
47,1960,29.6,1.5
48,1961,29.9,1.1
49,1962,30.3,1.2
50,1963,30.6,1.2
51,1964,31.0,1.3
52,1965,31.5,1.6
53,1966,32.5,3.0
54,1967,33.4,2.8
55,1968,34.8,4.3
56,1969,36.7,5.5
57,1970,38.8,5.8
58,1971,40.5,4.3
59,1972,41.8,3.3
60,1973,44.4,6.2
61,1974,49.3,11.1
62,1975,53.8,9.1
63,1976,56.9,5.7
64,1977,60.6,6.5
65,1978,65.2,7.6
66,1979,72.6,11.3
67,1980,82.4,13.5
68,1981,90.9,10.3
69,1982,96.5,6.1
70,1983,99.6,3.2
71,1984,103.9,4.3
72,1985,107.6,3.5
73,1986,109.6,1.9
74,1987,113.6,3.7
75,1988,118.3,4.1
76,1989,124.0,4.8
77,1990,130.7,5.4
78,1991,136.2,4.2
79,1992,140.3,3.0
80,1993,144.5,3.0
81,1994,148.2,2.6
82,1995,152.4,2.8
83,1996,156.9,2.9
84,1997,160.5,2.3
85,1998,163.0,1.6
86,1999,166.6,2.2
87,2000,172.2,3.4
88,2001,177.1,2.8
89,2002,179.9,1.6
90,2003,184.0,2.3
91,2004,188.9,2.7
92,2005,195.3,3.4
93,2006,201.6,3.2
94,2007,207.3,2.9
95,2008,215.3,3.8
96,2009,214.5,-0.4
97,2010,218.1,1.6
98,2011,224.9,3.2
99,2012,229.6,2.1
100,2013,233.0,1.5
101,2014,236.7,1.6
102,2015,237.0,0.1
103,2016,240.0,1.3
104,2017,245.1,2.1
105,2018,251.1,2.4
106,2019,255.7,1.8
107,2020,258.8,1.2
108,2021,271.0,4.7
109,2022,292.7,8.0
,2023,311.4,6.4
